,0
0,30257787
1,25907124
2,30444960
3,35155748
4,35051512
5,27589933
6,1295644
7,30166972
8,26794435
9,26752088
10,30346025
11,1292001
12,1291561
13,26387939
14,3541415
15,1292052
16,2129039
17,35069506
18,3319755
19,26985127
